"BGCI.GardenID","CountryCode","Institution","City","State","IHCODE","InstitutionType","Latitude","Longitude"
808,"IN","Institute of Forest Genetics & Tree Breeding","Coimbatore","Tamil Nadu","FRC","Other",11.0048,76.9698
809,"IN","Jubilee Park","Jamshedpur","Null","JAMSH","Other",22.7784,86.209
811,"IT","Giardino Botanico Alpino Di Pietra Corva","Romagnese","Null","ROMAG","Botanic Garden",44.9009,9.1242
813,"IT","Orto Botanico Comunale","Lucca","Null","LUCCA","Botanic Garden",43.8587,10.4682
814,"IT","Istituto-Orto Botanico dell'Universita di Milano","Milan","Null","MI","Botanic Garden",45.474,9.2277
815,"IT","Centro Richerche Floristiche Marche","Pesaro","Null","PESAR","Other",43.912,12.9157
816,"IT","Orto Botanico Friulano","Udine","Null","UDINE","Botanic Garden",46.1458,13.1051
819,"JP","Tokyo Metropolitan Medicinal Plants Garden","Tokyo","Null","TOKMM","Botanic Garden",35.6784,139.6822
820,"JP","Medicinal Plants Research Station","Tsukuba","Null","TSUK","Other",36.0869,140.0979
821,"JP","Botanical Laboratories","Tokyo","Null","TOKMU","Botanic Garden",35.6784,139.6822
